                          Area.peak KS.trans Combined
spec-5400-56308-0191.fits  0.874210 1.000000 0.874210
spec-4739-55644-0106.fits  0.873997 0.999272 0.873361
spec-5381-56009-0798.fits  0.913814 0.955598 0.873239
spec-6627-56369-0080.fits  0.913102 0.956326 0.873223
spec-3986-55329-0820.fits  0.873219 1.000000 0.873219
spec-4221-55443-0840.fits  0.889305 0.981802 0.873122
spec-7422-56799-0900.fits  0.952779 0.916291 0.873022
spec-4896-55712-0634.fits  0.872822 1.000000 0.872822
spec-4757-55653-0622.fits  0.984628 0.886446 0.872820
spec-7108-56686-0527.fits  0.957012 0.911923 0.872721
spec-3773-55240-0400.fits  0.872113 1.000000 0.872113
spec-3783-55246-0798.fits  0.943919 0.923570 0.871774
spec-6660-56370-0856.fits  0.902634 0.965788 0.871754
spec-4772-55654-0627.fits  0.946071 0.921386 0.871696
spec-5172-56071-0705.fits  0.871363 1.000000 0.871363
spec-6170-56240-0060.fits  0.928060 0.938856 0.871314
spec-4222-55444-0126.fits  0.943320 0.923570 0.871221
spec-6726-56394-0238.fits  0.966907 0.901005 0.871187
spec-5361-55973-0680.fits  0.870959 1.000000 0.870959
spec-3639-55205-0842.fits  0.870894 1.000000 0.870894
spec-6145-56266-0306.fits  0.923098 0.943223 0.870688
spec-5004-55711-0236.fits  0.870073 1.000000 0.870073
spec-6597-56304-0876.fits  0.870006 1.000000 0.870006
spec-5314-55952-0118.fits  0.972980 0.893725 0.869577
spec-3744-55209-0152.fits  0.974344 0.892270 0.869377
spec-4182-55446-0314.fits  0.875751 0.992721 0.869376
spec-7106-56663-0806.fits  0.869190 1.000000 0.869190
spec-6693-56384-0540.fits  0.895698 0.970156 0.868967
spec-4229-55501-0323.fits  0.868950 1.000000 0.868950
spec-6061-56076-0646.fits  0.868098 1.000000 0.868098
spec-4427-56107-0436.fits  0.994769 0.872616 0.868051
spec-5468-56014-0806.fits  0.867823 1.000000 0.867823
spec-7390-57130-0035.fits  0.867297 1.000000 0.867297
spec-7420-56753-0526.fits  0.866322 1.000000 0.866322
spec-6813-56419-0886.fits  0.948336 0.913379 0.866190
spec-5371-55976-0371.fits  0.865896 1.000000 0.865896
spec-7141-56565-0162.fits  0.979886 0.883535 0.865763
spec-4994-55739-0984.fits  0.865606 1.000000 0.865606
spec-6500-56541-0226.fits  0.911282 0.949774 0.865512
spec-5028-55836-0501.fits  0.885063 0.977435 0.865092
spec-6370-56238-0069.fits  0.962251 0.898821 0.864891
spec-3925-55338-0502.fits  0.864803 1.000000 0.864803
spec-6737-56365-0301.fits  0.864738 1.000000 0.864738
spec-6060-56074-0790.fits  0.863677 1.000000 0.863677
spec-6702-56381-0304.fits  0.992808 0.869704 0.863449
spec-3831-55543-0068.fits  0.925213 0.933032 0.863254
spec-7374-56751-0842.fits  0.906801 0.951958 0.863236
spec-6428-56279-0912.fits  0.863159 1.000000 0.863159
spec-7098-56661-0904.fits  0.862967 1.000000 0.862967
spec-3590-55201-0368.fits  0.862634 1.000000 0.862634
spec-5142-55825-0110.fits  0.862363 1.000000 0.862363
spec-4831-55679-0596.fits  0.862350 1.000000 0.862350
spec-6837-56442-0378.fits  0.862267 1.000000 0.862267
spec-7240-56665-0296.fits  0.862191 1.000000 0.862191
spec-3735-55209-0664.fits  0.862055 1.000000 0.862055
spec-5779-56338-0372.fits  0.861935 1.000000 0.861935
spec-3849-55274-0778.fits  0.861934 1.000000 0.861934
spec-5427-56001-0856.fits  0.861658 1.000000 0.861658
spec-4736-55631-0254.fits  0.890097 0.967972 0.861589
spec-7287-57042-0886.fits  0.951806 0.904644 0.861046
spec-4559-55597-0032.fits  0.911866 0.943951 0.860756
spec-4763-55869-0582.fits  0.862738 0.997088 0.860226
spec-5955-56456-0126.fits  0.876624 0.981074 0.860034
spec-5212-56016-0428.fits  0.880399 0.976707 0.859892
spec-6375-56323-0817.fits  0.859849 1.000000 0.859849
spec-6018-56067-0754.fits  0.859254 1.000000 0.859254
spec-4750-55630-0188.fits  0.859218 1.000000 0.859218
spec-6604-56337-0344.fits  0.858825 1.000000 0.858825
spec-5320-55999-0680.fits  0.858462 1.000000 0.858462
spec-3871-55307-0756.fits  0.857723 1.000000 0.857723
spec-4774-55659-0016.fits  0.948820 0.903188 0.856963
spec-6487-56362-0968.fits  0.894547 0.957781 0.856780
spec-4545-55567-0710.fits  0.856565 1.000000 0.856565
spec-6520-56541-0220.fits  0.883264 0.969428 0.856260
spec-5772-56003-0400.fits  0.856136 1.000000 0.856136
spec-6113-56219-0350.fits  0.918272 0.932305 0.856109
spec-6507-56478-0606.fits  0.856005 1.000000 0.856005
spec-6724-56416-0758.fits  0.855488 1.000000 0.855488
spec-5462-55978-0222.fits  0.893196 0.957781 0.855486
spec-6370-56238-0392.fits  0.961738 0.889358 0.855330
spec-6190-56210-0071.fits  0.905836 0.943951 0.855064
spec-5952-56453-0822.fits  0.854749 1.000000 0.854749
spec-6713-56402-0333.fits  0.955602 0.894453 0.854742
spec-4043-55630-0927.fits  0.854088 1.000000 0.854088
spec-5356-55979-0167.fits  0.853849 1.000000 0.853849
spec-3855-55268-0244.fits  0.853705 1.000000 0.853705
spec-7298-56661-0078.fits  0.853505 1.000000 0.853505
spec-3794-55241-0009.fits  0.986295 0.865337 0.853478
spec-6476-56358-0481.fits  0.853473 1.000000 0.853473
spec-5043-56187-0810.fits  0.916055 0.931577 0.853376
spec-3826-55563-0768.fits  0.853313 1.000000 0.853313
spec-4895-55708-0566.fits  0.853061 1.000000 0.853061
spec-4703-55617-0306.fits  0.853029 1.000000 0.853029
spec-4481-55630-0288.fits  0.936117 0.911195 0.852985
spec-4005-55325-0614.fits  0.966108 0.882807 0.852886
spec-3875-55364-0198.fits  0.901434 0.946135 0.852878
spec-6728-56426-0760.fits  0.864638 0.986170 0.852680
spec-5406-55955-0476.fits  0.852632 1.000000 0.852632
spec-3775-55207-0284.fits  0.852136 1.000000 0.852136
spec-7389-56769-0528.fits  0.852054 1.000000 0.852054
spec-7054-56575-0842.fits  0.851878 1.000000 0.851878
spec-4487-55866-0230.fits  0.915823 0.930121 0.851826
spec-4005-55325-0882.fits  0.851810 1.000000 0.851810
spec-3788-55246-0616.fits  0.949825 0.896637 0.851648
spec-7096-56683-0978.fits  0.970286 0.877711 0.851631
spec-4997-55738-0250.fits  0.904959 0.941039 0.851602
spec-4240-55455-0342.fits  0.851420 1.000000 0.851420
spec-5354-55927-0950.fits  0.851308 1.000000 0.851308
spec-4323-55884-0677.fits  0.851051 1.000000 0.851051
spec-7116-56681-0220.fits  0.850844 1.000000 0.850844
spec-4557-55588-0376.fits  0.850592 1.000000 0.850592
spec-4530-55564-0418.fits  0.962657 0.883535 0.850540
spec-5801-56328-0008.fits  0.850537 1.000000 0.850537
spec-7109-56658-0230.fits  0.850529 1.000000 0.850529
spec-5735-55980-0970.fits  0.961816 0.884263 0.850498
spec-3586-55181-0918.fits  0.894620 0.950502 0.850339
spec-4356-55829-0580.fits  0.881735 0.964333 0.850286
spec-7310-56693-0036.fits  0.969275 0.876984 0.850038
spec-7394-57131-0155.fits  0.886289 0.958509 0.849516
spec-4204-55470-0738.fits  0.849506 1.000000 0.849506
spec-7309-56991-0476.fits  0.867163 0.979619 0.849488
spec-3770-55234-0708.fits  0.849166 1.000000 0.849166
spec-7089-56661-0144.fits  0.849138 1.000000 0.849138
spec-5992-56066-0136.fits  0.849136 1.000000 0.849136
spec-7429-56740-0148.fits  0.959476 0.884991 0.849127
spec-5496-55888-0518.fits  0.941451 0.901732 0.848937
spec-5715-56657-0354.fits  0.968413 0.876256 0.848577
spec-7090-56659-0801.fits  0.927979 0.914107 0.848272
spec-5056-55921-0698.fits  0.848050 1.000000 0.848050
spec-4362-55828-0244.fits  0.847886 1.000000 0.847886
spec-4712-55738-0144.fits  0.879061 0.964333 0.847707
spec-3751-55234-0610.fits  0.847590 1.000000 0.847590
spec-7418-57165-0849.fits  0.876125 0.967244 0.847426
spec-6144-56237-0414.fits  0.847370 1.000000 0.847370
spec-5864-56047-0166.fits  0.977540 0.866793 0.847325
spec-5357-55956-0408.fits  0.974090 0.869704 0.847171
spec-6428-56279-0378.fits  0.847048 1.000000 0.847048
spec-4048-55602-0266.fits  0.902199 0.938856 0.847035
spec-4759-55649-0368.fits  0.846722 1.000000 0.846722
spec-6370-56238-0143.fits  0.934943 0.905372 0.846471
spec-3670-55480-0308.fits  0.906387 0.933760 0.846348
spec-7152-56660-0203.fits  0.846257 1.000000 0.846257
spec-7296-57046-0896.fits  0.926474 0.913379 0.846222
spec-5130-55835-0214.fits  0.977767 0.865337 0.846098
spec-4797-55662-0524.fits  0.846069 1.000000 0.846069
spec-5859-56065-0651.fits  0.930698 0.909012 0.846015
spec-3962-55660-0132.fits  0.945037 0.895181 0.845979
spec-6690-56416-0860.fits  0.867244 0.975251 0.845781
spec-6126-56269-0956.fits  0.896430 0.943223 0.845534
spec-4662-55590-0016.fits  0.845509 1.000000 0.845509
spec-4452-55536-0019.fits  0.845482 1.000000 0.845482
spec-6497-56329-0028.fits  0.844896 1.000000 0.844896
spec-5776-56010-0782.fits  0.844792 1.000000 0.844792
spec-7453-56749-0112.fits  0.844691 1.000000 0.844691
spec-3938-55328-0623.fits  0.899600 0.938856 0.844595
